,hidden,batch_size,reg,lr,train_cost,train_acc_total,dev_cost,dev_acc_total,test_acc_total,err,train_acc_0,dev_acc_0,test_acc_0,train_acc_1,dev_acc_1,test_acc_1,train_acc_2,dev_acc_2,test_acc_2
0,10,100,0.0,0.05,0.7824764854136872,0.6231884057971014,0.8637952188131663,0.5722679200940071,0.5464159811985899,2,0.3877068557919622,0.2907801418439716,0.23404255319148937,0.5772765246449457,0.49373433583959897,0.45864661654135336,0.7888531618435155,0.8006430868167203,0.8006430868167203
1,100,100,0.0,0.05,0.7013327811085478,0.7128867998433216,1.4781486466221962,0.5170387779083431,0.49471210340775557,2,0.7541371158392435,0.3049645390070922,0.49645390070921985,0.5213032581453634,0.3508771929824561,0.2506265664160401,0.939978563772776,0.8263665594855305,0.8070739549839229
2,300,100,0.0,0.05,0.16935890839040668,0.9510379945162554,2.167004467784027,0.5593419506462984,0.5217391304347826,2,0.9243498817966903,0.40425531914893614,0.375886524822695,0.9440267335004177,0.5112781954887218,0.46616541353383456,0.9721329046087889,0.6913183279742765,0.6591639871382636
3,10,100,0.001,0.05,0.6557593085585909,0.699177438307873,0.8277161029322433,0.6051703877790834,0.5663924794359577,2,0.47044917257683216,0.3049645390070922,0.19148936170212766,0.6925647451963242,0.5764411027568922,0.5162907268170426,0.8113612004287245,0.7781350482315113,0.8006430868167203
4,100,100,0.001,0.05,0.35234221690863193,0.8585977281629456,1.0592118517847924,0.5687426556991775,0.5381903642773208,0,0.7375886524822695,0.2907801418439716,0.40425531914893614,0.8212197159565581,0.47117794486215536,0.3659147869674185,0.9614147909967846,0.819935691318328,0.819935691318328
5,300,100,0.001,0.05,0.6243643837062749,0.7027027027027027,1.4785852954889707,0.48413631022326675,0.4806110458284371,0,0.5886524822695035,0.1773049645390071,0.2127659574468085,0.5213032581453634,0.23809523809523808,0.22807017543859648,0.9871382636655949,0.9389067524115756,0.9260450160771704
6,10,100,0.005,0.05,0.633804265458316,0.7168037602820212,0.7688692746956177,0.6439482961222092,0.6286721504112809,2,0.1773049645390071,0.07092198581560284,0.09219858156028368,0.7986633249791144,0.7117794486215538,0.6466165413533834,0.8563772775991425,0.8167202572347267,0.8488745980707395
7,100,100,0.005,0.05,0.998715368777356,0.4238151194672934,1.1839836764253067,0.3901292596944771,0.3772032902467685,0,0.04491725768321513,0.0,0.0,0.10944026733500417,0.05263157894736842,0.02506265664160401,0.9989281886387996,1.0,1.0
8,300,100,0.005,0.05,1.9893849704968098,0.3772032902467685,2.22750722725889,0.3654524089306698,0.36662749706227965,2,0.04964539007092199,0.0,0.0,0.007518796992481203,0.0,0.002506265664160401,1.0,1.0,1.0
9,10,100,0.01,0.05,0.7953964842332055,0.6239717978848414,0.8106846973681686,0.63689776733255,0.6169212690951822,2,0.0,0.0,0.0,0.6934001670843776,0.7167919799498746,0.6591478696741855,0.8177920685959271,0.8231511254019293,0.842443729903537
10,100,100,0.01,0.05,1.2901831283361627,0.3654524089306698,1.3048390320503045,0.3654524089306698,0.3654524089306698,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11,300,100,0.01,0.05,2.2777914737647795,0.36584410497453973,2.381218104413521,0.3654524089306698,0.3654524089306698,2,0.002364066193853428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
12,10,100,0.05,0.05,1.0341310636537708,0.3654524089306698,1.0183120269980837,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
13,100,100,0.05,0.05,2.023039159281142,0.3654524089306698,2.015189723962693,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
14,300,100,0.05,0.05,2.92625319037895,0.3654524089306698,2.9275402302957816,0.3654524089306698,0.3654524089306698,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
15,10,100,0.0,0.1,0.8163545000492316,0.6086956521739131,0.9625764121991645,0.5511163337250293,0.5334900117508813,2,0.42080378250591016,0.3404255319148936,0.24822695035460993,0.47201336675020883,0.38847117794486213,0.37343358395989973,0.8692390139335477,0.8553054662379421,0.8681672025723473
16,100,100,0.0,0.1,0.4315892434802302,0.836271053662358,1.862140018167521,0.54524089306698,0.49236192714453586,2,0.83451536643026,0.28368794326241137,0.4397163120567376,0.7435254803675856,0.44611528822055135,0.3408521303258145,0.9560557341907824,0.7909967845659164,0.7106109324758842
17,300,100,0.0,0.1,0.15137042728689612,0.9659224441833137,2.4764345871780926,0.581668625146886,0.5334900117508813,2,0.8841607565011821,0.3617021276595745,0.3546099290780142,0.9899749373433584,0.5789473684210527,0.5162907268170426,0.9721329046087889,0.684887459807074,0.6366559485530546
18,10,100,0.001,0.1,0.6328362729820525,0.7105366235801018,0.9138810847465721,0.5910693301997649,0.5605170387779084,2,0.46808510638297873,0.2907801418439716,0.23404255319148937,0.656641604010025,0.5037593984962406,0.44110275689223055,0.8896034297963559,0.8392282958199357,0.8617363344051447
